Symbol,Bid,Ask,Spread,Digits,Point,TickSize,TickValue,BaseCurrency,ProfitCurrency,Description,SpreadType,Selected,Visible,SessionHigh,SessionLow,Volume,Time,GannCategory,Price360Range,DegreePerPoint
.ABT.N,125.66,125.67,0.010000000000005116,2,0.01,0.01,1.0,USD,USD,Abbott Laboratories,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 22:59,LARGE,360.0,1.0
.ACB.US,4.8,4.83,0.03000000000000025,2,0.01,0.01,1.0,USD,USD,Aurora Cannabis Inc. CFD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 22:59,SMALL,3.6,100.0
.ACM.US,113.08,113.13,0.04999999999999716,2,0.01,0.01,1.0,USD,USD,AECOM CFD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 22:59,LARGE,360.0,1.0
.ACN.US,281.71,281.74,0.03000000000002956,2,0.01,0.01,1.0,USD,USD,Accenture PLC CFD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 22:59,LARGE,360.0,1.0
.ADBE.OQ,371.62,371.82,0.19999999999998863,2,0.01,0.01,1.0,USD,USD,Adobe Inc.,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 22:59,LARGE,360.0,1.0
.ADC.US,73.74,73.76,0.020000000000010232,2,0.01,0.01,1.0,USD,USD,Agree Realty Corp CFD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 22:59,MEDIUM,36.0,10.0
.ADEA.US,13.43,13.44,0.009999999999999787,2,0.01,0.01,1.0,USD,USD,Adeia Inc CFD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 22:59,MEDIUM,36.0,10.0
.ADI.US,226.37,226.38,0.009999999999990905,2,0.01,0.01,1.0,USD,USD,Analog Devices Inc CFD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 22:59,LARGE,360.0,1.0
.ADM.US,55.52,55.53,0.00999999999999801,2,0.01,0.01,1.0,USD,USD,Archer-Daniels-Midland Co.,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 22:59,MEDIUM,36.0,10.0
.ADNT.US,22.72,22.74,0.019999999999999574,2,0.01,0.01,1.0,USD,USD,Adient PLC CFD,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.24 22:59,MEDIUM,36.0,10.0
